                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0084,                0.67536,                  1.287,                0.93594,                0.92391,                 0.9677,                0.74099,                0.87625,                0.44587,                 1.2484,              0.0053329,              0.0053329,              0.0053329
                     35,                 1.0016,                0.65231,                 1.2709,                0.91388,                0.94674,                0.96671,                0.74653,                0.84004,                0.44891,                 1.1921,              0.0051914,              0.0051914,              0.0051914
                     36,                  1.007,                0.65834,                 1.2718,                0.92108,                0.93875,                0.96685,                0.75177,                0.82207,                0.44254,                 1.1738,                0.00505,                0.00505,                0.00505
                     37,                0.99003,                0.64546,                 1.2532,                0.92218,                0.92609,                0.96703,                0.73631,                0.88202,                0.46599,                 1.2314,              0.0049086,              0.0049086,              0.0049086
                     38,                0.97593,                0.63883,                 1.2531,                0.91921,                0.95217,                0.96943,                0.75694,                0.81468,                0.43181,                 1.1752,              0.0047671,              0.0047671,              0.0047671
                     39,                0.96917,                0.63698,                 1.2543,                0.93796,                0.93152,                 0.9676,                0.74853,                0.84659,                0.42022,                 1.2071,              0.0046257,              0.0046257,              0.0046257
                     40,                0.96297,                0.62339,                 1.2383,                0.93081,                0.93579,                 0.9671,                0.74729,                0.84474,                0.41981,                 1.1959,              0.0044843,              0.0044843,              0.0044843
                     41,                0.96323,                0.61747,                 1.2385,                0.92737,                 0.9438,                0.97127,                0.75646,                0.82719,                0.41448,                  1.181,              0.0043429,              0.0043429,              0.0043429
                     42,                0.95529,                0.61726,                 1.2364,                0.92418,                0.95398,                0.96813,                0.73865,                0.87108,                0.41594,                 1.2151,              0.0042014,              0.0042014,              0.0042014
                     43,                0.94302,                0.60867,                  1.238,                0.92874,                 0.9491,                0.97354,                0.76346,                0.80204,                0.40025,                 1.1678,                0.00406,                0.00406,                0.00406
                     44,                0.93374,                 0.6035,                 1.2204,                0.92667,                0.94565,                0.96816,                0.76296,                0.79029,                0.40664,                 1.1426,              0.0039186,              0.0039186,              0.0039186
                     45,                0.93288,                0.59382,                  1.221,                0.92681,                0.95217,                0.97255,                 0.7549,                0.82825,                0.39752,                 1.1778,              0.0037771,              0.0037771,              0.0037771
                     46,                0.92353,                0.58813,                 1.2087,                0.92806,                0.95349,                0.97179,                0.76005,                0.80818,                0.40104,                 1.1716,              0.0036357,              0.0036357,              0.0036357
                     47,                0.92944,                0.58615,                 1.2191,                0.92111,                0.96451,                0.97325,                0.75994,                 0.8309,                0.38627,                 1.1886,              0.0034943,              0.0034943,              0.0034943
                     48,                0.91757,                0.58157,                 1.2075,                0.94221,                0.93804,                0.96928,                0.76669,                0.78524,                0.39493,                 1.1558,              0.0033529,              0.0033529,              0.0033529
                     49,                0.90768,                 0.5715,                 1.2061,                0.92411,                 0.9662,                0.97496,                0.75886,                0.81852,                0.38725,                   1.18,              0.0032114,              0.0032114,              0.0032114
                     50,                 0.9109,                 0.5722,                 1.2123,                0.92491,                0.96739,                0.97735,                 0.7707,                0.78019,                0.37031,                 1.1468,                0.00307,                0.00307,                0.00307
                     51,                0.89437,                0.56013,                 1.2024,                0.94117,                0.94022,                0.97025,                0.76318,                0.78241,                0.39117,                 1.1591,              0.0029286,              0.0029286,              0.0029286
                     52,                0.88754,                0.54368,                 1.1932,                0.92241,                 0.9691,                0.97439,                0.77414,                0.77102,                 0.3627,                 1.1351,              0.0027871,              0.0027871,              0.0027871
                     53,                0.87939,                0.54143,                 1.1783,                0.93867,                0.96487,                0.97513,                0.77529,                0.78215,                0.37622,                 1.1535,              0.0026457,              0.0026457,              0.0026457
                     54,                 0.8853,                0.54509,                 1.1882,                0.91786,                0.96848,                0.97635,                0.77929,                0.77337,                0.37198,                 1.1528,              0.0025043,              0.0025043,              0.0025043
                     55,                0.86704,                0.53421,                 1.1738,                0.94239,                0.94229,                0.97627,                0.77552,                0.78843,                0.37188,                 1.1683,              0.0023629,              0.0023629,              0.0023629
                     56,                0.85684,                0.52334,                 1.1789,                0.94058,                0.94634,                0.97642,                0.77439,                0.78675,                0.36485,                 1.1774,              0.0022214,              0.0022214,              0.0022214
                     57,                 0.8515,                0.52914,                  1.178,                0.93296,                0.94457,                0.97108,                0.77899,                0.76743,                0.37202,                 1.1412,                0.00208,                0.00208,                0.00208
                     58,                0.84612,                0.51492,                 1.1573,                0.93626,                0.95789,                0.97618,                0.78061,                0.77309,                0.36295,                 1.1502,              0.0019386,              0.0019386,              0.0019386
                     59,                0.84242,                0.52149,                 1.1575,                0.94058,                0.94634,                 0.9748,                0.77378,                0.77143,                0.37537,                 1.1376,              0.0017971,              0.0017971,              0.0017971
                     60,                0.74951,                0.35828,                 1.1459,                0.92011,                0.96739,                0.97299,                0.78525,                0.75975,                0.36102,                 1.1246,              0.0016557,              0.0016557,              0.0016557
                     61,                0.74654,                0.36361,                 1.1508,                0.92537,                0.95689,                 0.9737,                0.78209,                0.77236,                 0.3614,                 1.1355,              0.0015143,              0.0015143,              0.0015143
                     62,                0.74046,                0.35155,                 1.1561,                0.93403,                0.95652,                0.97729,                 0.7834,                0.77889,                0.36414,                 1.1474,              0.0013729,              0.0013729,              0.0013729
                     63,                0.72808,                0.34437,                 1.1359,                0.91853,                0.96809,                  0.975,                0.78644,                0.76509,                 0.3586,                 1.1387,              0.0012314,              0.0012314,              0.0012314
                     64,                0.72265,                0.33638,                 1.1366,                0.93101,                0.96817,                0.97574,                0.79293,                0.74831,                0.34045,                 1.1238,                0.00109,                0.00109,                0.00109
                     65,                0.70325,                0.32663,                 1.1174,                 0.9286,                0.96135,                0.97542,                0.78699,                0.75652,                0.35016,                  1.129,             0.00094857,             0.00094857,             0.00094857
                     66,                0.69554,                0.32229,                 1.1092,                0.94337,                0.95326,                0.97535,                0.79083,                0.74838,                0.34252,                 1.1267,             0.00080714,             0.00080714,             0.00080714
                     67,                0.69056,                0.31715,                 1.1086,                0.93905,                0.95462,                0.97664,                0.79453,                0.75648,                0.34066,                 1.1297,             0.00066571,             0.00066571,             0.00066571
                     68,                0.68348,                0.31105,                 1.1004,                0.93942,                0.96081,                0.97711,                0.79714,                0.75165,                0.33762,                 1.1268,             0.00052429,             0.00052429,             0.00052429
                     69,                0.67308,                0.30699,                 1.0909,                0.94182,                0.95019,                0.97639,                0.79616,                  0.749,                0.34038,                 1.1249,             0.00038286,             0.00038286,             0.00038286
