                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77644,                0.67935,                 1.2442,                0.86351,                0.81251,                0.88174,                0.58025,                 1.2234,                  0.766,                 1.8542,               0.003268,               0.003268,               0.003268
                     36,                0.75606,                0.66016,                 1.2185,                0.87259,                0.80946,                0.88363,                0.58008,                 1.2384,                0.74153,                 1.9077,                0.00307,                0.00307,                0.00307
                     37,                0.76072,                0.65846,                 1.2243,                0.85979,                0.80349,                0.86267,                0.56246,                 1.2579,                0.75305,                 1.9435,               0.002872,               0.002872,               0.002872
                     38,                0.72493,                0.63141,                 1.2061,                0.86943,                0.82353,                0.88985,                0.59148,                 1.2096,                0.71978,                 1.8736,               0.002674,               0.002674,               0.002674
                     39,                 0.7139,                0.60902,                 1.2019,                0.84147,                0.83193,                0.87638,                0.57784,                 1.2283,                0.72061,                 1.8655,               0.002476,               0.002476,               0.002476
                     40,                0.59646,                0.50048,                 1.1913,                0.83634,                0.78577,                0.84804,                0.54307,                  1.217,                0.82119,                 1.8882,               0.002278,               0.002278,               0.002278
                     41,                0.57291,                0.46326,                 1.1739,                0.86652,                0.80456,                0.86685,                0.56161,                 1.2437,                0.77243,                 1.8921,                0.00208,                0.00208,                0.00208
                     42,                0.56737,                 0.4529,                 1.1686,                0.85406,                0.82539,                0.88115,                0.57701,                 1.2186,                0.73947,                 1.8413,               0.001882,               0.001882,               0.001882
                     43,                0.57137,                0.44021,                 1.1642,                0.86549,                0.82269,                 0.8826,                0.59303,                 1.2148,                0.71907,                 1.8473,               0.001684,               0.001684,               0.001684
                     44,                0.54546,                0.42363,                 1.1423,                0.90283,                0.81904,                0.88707,                0.59722,                 1.1957,                0.72043,                 1.8196,               0.001486,               0.001486,               0.001486
                     45,                0.55559,                0.42587,                 1.1443,                0.86596,                0.82333,                0.88827,                0.59931,                 1.1743,                0.70989,                 1.7924,               0.001288,               0.001288,               0.001288
                     46,                0.52253,                0.39134,                 1.1248,                0.84167,                0.84691,                0.88721,                 0.5922,                 1.1825,                0.71183,                 1.8162,                0.00109,                0.00109,                0.00109
                     47,                0.52149,                0.38329,                 1.1197,                0.86791,                0.81696,                0.88274,                0.58191,                 1.2111,                0.71646,                 1.8323,               0.000892,               0.000892,               0.000892
                     48,                0.51094,                0.38529,                 1.1192,                0.85195,                0.81787,                0.88328,                0.59729,                 1.2002,                0.70809,                 1.8147,               0.000694,               0.000694,               0.000694
                     49,                0.51434,                0.38023,                 1.1006,                0.83595,                0.83909,                0.88278,                0.59411,                 1.2061,                0.70462,                 1.8353,               0.000496,               0.000496,               0.000496
